order_date,total_orders,total_quantity
2025-03-20,13,35
2025-03-21,16,45
2025-03-22,14,44
2025-03-23,12,40
2025-03-24,4,8
2025-03-25,12,35
2025-03-26,19,60
2025-03-27,17,61
2025-03-28,8,27
2025-03-29,14,50
2025-03-30,11,37
2025-03-31,13,45
2025-04-01,14,42
2025-04-02,14,40
2025-04-03,7,17
2025-04-04,15,52
2025-04-05,8,21
2025-04-06,9,24
2025-04-07,13,37
2025-04-08,15,48
2025-04-09,13,41
2025-04-10,16,44
2025-04-11,13,35
2025-04-12,12,37
2025-04-13,15,36
2025-04-14,10,31
2025-04-15,13,47
2025-04-16,7,18
2025-04-17,18,52
2025-04-18,13,42
2025-04-19,15,40
2025-04-20,8,19
2025-04-21,12,37
2025-04-22,13,44
2025-04-23,13,35
2025-04-24,17,47
2025-04-25,16,53
2025-04-26,10,31
2025-04-27,18,44
2025-04-28,11,40
2025-04-29,13,34
2025-04-30,8,27
2025-05-01,18,55
2025-05-02,9,22
2025-05-03,10,29
2025-05-04,11,31
2025-05-05,10,38
2025-05-06,16,49
2025-05-07,23,66
2025-05-08,16,37
2025-05-09,19,51
2025-05-10,12,27
2025-05-11,16,44
2025-05-12,19,65
2025-05-13,17,50
2025-05-14,9,26
2025-05-15,9,26
2025-05-16,14,45
2025-05-17,10,32
2025-05-18,10,35
2025-05-19,18,62
2025-05-20,13,32
2025-05-21,12,42
2025-05-22,22,69
2025-05-23,11,38
2025-05-24,19,61
2025-05-25,12,39
2025-05-26,17,52
2025-05-27,11,40
2025-05-28,20,55
2025-05-29,12,40
2025-05-30,13,43
2025-05-31,15,42
2025-06-01,5,11
2025-06-02,12,37
2025-06-03,6,22
2025-06-04,16,55
2025-06-05,12,35
2025-06-06,9,37
2025-06-07,12,37
2025-06-08,10,27
2025-06-09,10,32
2025-06-10,19,60
2025-06-11,21,68
2025-06-12,10,36
2025-06-13,21,54
2025-06-14,18,55
2025-06-15,8,20
2025-06-16,11,34
2025-06-17,10,32
2025-06-18,12,38
2025-06-19,11,39
2025-06-20,11,21
2025-06-21,16,43
2025-06-22,15,39
2025-06-23,13,41
2025-06-24,23,69
2025-06-25,16,37
2025-06-26,17,41
2025-06-27,23,64
2025-06-28,17,58
2025-06-29,17,43
2025-06-30,15,52
2025-07-01,16,45
2025-07-02,15,39
2025-07-03,8,17
2025-07-04,14,48
2025-07-05,17,44
2025-07-06,21,65
2025-07-07,9,29
2025-07-08,12,36
2025-07-09,10,38
2025-07-10,11,37
2025-07-11,17,46
2025-07-12,12,38
2025-07-13,13,41
2025-07-14,8,25
2025-07-15,11,34
2025-07-16,15,47
2025-07-17,11,26
2025-07-18,12,41
2025-07-19,15,46
2025-07-20,14,41
2025-07-21,20,64
2025-07-22,13,39
2025-07-23,18,69
2025-07-24,14,35
2025-07-25,14,45
2025-07-26,15,53
2025-07-27,12,39
2025-07-28,13,42
2025-07-29,14,43
2025-07-30,16,49
2025-07-31,10,25
2025-08-01,18,51
2025-08-02,12,32
2025-08-03,9,25
2025-08-04,14,47
2025-08-05,11,40
2025-08-06,13,32
2025-08-07,12,30
2025-08-08,19,53
2025-08-09,15,50
2025-08-10,9,25
2025-08-11,13,42
2025-08-12,16,40
2025-08-13,19,58
2025-08-14,9,32
2025-08-15,19,66
2025-08-16,13,29
2025-08-17,12,32
2025-08-18,15,43
2025-08-19,11,36
2025-08-20,10,28
2025-08-21,12,30
2025-08-22,12,26
2025-08-23,15,46
2025-08-24,20,67
2025-08-25,18,49
2025-08-26,12,39
2025-08-27,13,34
2025-08-28,13,35
2025-08-29,17,51
2025-08-30,11,36
2025-08-31,10,31
2025-09-01,20,54
2025-09-02,17,45
2025-09-03,11,33
2025-09-04,13,39
2025-09-05,16,48
2025-09-06,11,41
2025-09-07,9,25
2025-09-08,15,38
2025-09-09,14,34
2025-09-10,20,61
2025-09-11,13,25
2025-09-12,14,38
2025-09-13,12,35
2025-09-14,11,30
2025-09-15,12,37
2025-09-16,10,32
2025-09-17,17,52
2025-09-18,16,51
2025-09-19,21,66
2025-09-20,19,48
2025-09-21,16,65
2025-09-22,11,35
2025-09-23,16,46
2025-09-24,12,39
2025-09-25,16,50
2025-09-26,17,46
2025-09-27,15,49
2025-09-28,11,30
2025-09-29,12,34
